"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","GET /static/media/Nta%20Logo%20fnl.d253f67aeddc87f99822.png – media asset returns 200","chromium","2026-09-17","failed","2026-09-17","API – Endpoint Validation (UI Flow Endpoints)","api.spec.ts","",""
"","3","GET /static/css/main.a444fab9.css – stylesheet returns 200","chromium","2026-09-17","failed","2026-09-17","API – Endpoint Validation (UI Flow Endpoints)","api.spec.ts","",""
"","185872","should login, navigate to profile and upload a new profile picture","chromium","2026-09-17","broken","2026-09-17","Profile Picture Update","profile.spec.ts","",""
"","4","GET /static/js/main.295bba08.js – JS bundle returns 200","chromium","2026-09-17","failed","2026-09-17","API – Endpoint Validation (UI Flow Endpoints)","api.spec.ts","",""
"","3","GET / – home page returns 200","chromium","2026-09-17","failed","2026-09-17","API – Endpoint Validation (UI Flow Endpoints)","api.spec.ts","",""
"","4","GET /Nta%20Logo%20fnl.png – logo asset returns 200","chromium","2026-09-17","failed","2026-09-17","API – Endpoint Validation (UI Flow Endpoints)","api.spec.ts","",""
